# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
ncRNA	RNase_P_RNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	210198	210537	+				RNase P RNA component class B	rnpB		JCVISYN3A_0356	340		
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	210712	212241	+							JCVISYN3A_0359	1530		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	210712	212241	+	AVX54736.1			Ribonuclease Y			JCVISYN3A_0359	1530	509	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	212275	213618	+					ffh		JCVISYN3A_0360	1344		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	212275	213618	+	AVX54737.1			Signal recognition particle protein	ffh		JCVISYN3A_0360	1344	447	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	213622	214089	+					rlmH		JCVISYN3A_0361	468		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	213622	214089	+	AVX54738.1			23S rRNA (pseudouridine(1915)-N3)-methyltransferase	rlmH		JCVISYN3A_0361	468	155	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	214180	214458	+					rpsP		JCVISYN3A_0362	279		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	214180	214458	+	AVX54739.1			30S ribosomal protein S16	rpsP		JCVISYN3A_0362	279	92	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	214490	214984	+					rimM		JCVISYN3A_0363	495		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	214490	214984	+	AVX54740.1			16S rRNA processing protein	rimM		JCVISYN3A_0363	495	164	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	214986	215708	+					trmD		JCVISYN3A_0364	723		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	214986	215708	+	AVX54741.1			tRNA (guanosine(37)-N1)-methyltransferase	trmD		JCVISYN3A_0364	723	240	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	215710	216093	+					rplS		JCVISYN3A_0365	384		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	215710	216093	+	AVX54742.1			50S ribosomal protein L19	rplS		JCVISYN3A_0365	384	127	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	216192	217142	+					ylqF; rbgA		JCVISYN3A_0366	951		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	216192	217142	+	AVX54743.1			L16-binding dependent 50S subunit-maturation GTPase	ylqF; rbgA		JCVISYN3A_0366	951	316	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	217523	219394	+					ywjA		JCVISYN3A_0371	1872		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	217523	219394	+	AVX54744.1			Flippase A	ywjA		JCVISYN3A_0371	1872	623	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	219410	221263	+					ywjA		JCVISYN3A_0372	1854		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	219410	221263	+	AVX54745.1			Flippase B	ywjA		JCVISYN3A_0372	1854	617	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	221297	222904	+							JCVISYN3A_0373	1608		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	221297	222904	+	AVX54746.1			Uncharacterized protein			JCVISYN3A_0373	1608	535	
gene	tRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	222960	223036	+					tRNA-Arg		JCVISYN3A_0374	77		
tRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	222960	223036	+				tRNA-Arg	tRNA-Arg		JCVISYN3A_0374	77		
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	223090	223830	+							JCVISYN3A_0375	741		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	223090	223830	+	AVX54747.1			Uncharacterized protein			JCVISYN3A_0375	741	246	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	223802	224146	+							JCVISYN3A_0376	345		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	223802	224146	+	AVX54748.1			Uncharacterized protein			JCVISYN3A_0376	345	114	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	224217	225518	+					obgE		JCVISYN3A_0377	1302		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	224217	225518	+	AVX54749.1			Ribosome GTPase	obgE		JCVISYN3A_0377	1302	433	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	225520	226257	+					nadE		JCVISYN3A_0378	738		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	225520	226257	+	AVX54750.1			NAD(+) synthase	nadE		JCVISYN3A_0378	738	245	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	226274	226552	+							JCVISYN3A_0379	279		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	226274	226552	+	AVX54751.1			Uncharacterized protein			JCVISYN3A_0379	279	92	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	226570	227667	+					nadD		JCVISYN3A_0380	1098		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	226570	227667	+	AVX54752.1			Nicotinate (nicotinamide) nucleotide adenylyltransferase	nadD		JCVISYN3A_0380	1098	365	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	227672	228331	+					mtnN		JCVISYN3A_0381	660		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	227672	228331	+	AVX54753.1			5'-Methylthioadenosine nucleosidase	mtnN		JCVISYN3A_0381	660	219	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	228341	228979	+					dnk		JCVISYN3A_0382	639		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	228341	228979	+	AVX54754.1			Deoxynucleoside kinase	dnk		JCVISYN3A_0382	639	212	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	229208	230335	+					mnmA		JCVISYN3A_0387	1128		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	229208	230335	+	AVX54755.1			tRNA 2-thiouridine(34) synthase	mnmA		JCVISYN3A_0387	1128	375	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	230382	230999	+							JCVISYN3A_0388	618		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	230382	230999	+	AVX54756.1			Uncharacterized protein			JCVISYN3A_0388	618	205	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	231075	233219	+							JCVISYN3A_0389	2145		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	231075	233219	+	AVX54757.1			Uncharacterized protein			JCVISYN3A_0389	2145	714	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	233209	234162	+					fmt		JCVISYN3A_0390	954		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	233209	234162	+	AVX54758.1			Methionyl-tRNA formyltransferase	fmt		JCVISYN3A_0390	954	317	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	234249	234803	+					efp		JCVISYN3A_0391	555		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	234249	234803	+	AVX54759.1			Elongation factor P	efp		JCVISYN3A_0391	555	184	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	234821	235123	+							JCVISYN3A_0392	303		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	234821	235123	+	AVX54760.1			Uncharacterized protein			JCVISYN3A_0392	303	100	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	235262	237622	+					lon		JCVISYN3A_0394	2361		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	235262	237622	+	AVX54761.1			Endopeptidase La	lon		JCVISYN3A_0394	2361	786	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	237760	240222	-							JCVISYN3A_0398	2463		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	237760	240222	-	AVX54762.1			Uncharacterized lipoprotein			JCVISYN3A_0398	2463	820	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	240372	245633	+							JCVISYN3A_0399	5262		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	240372	245633	+	AVX54763.1			Uncharacterized efflux ABC transporter permease			JCVISYN3A_0399	5262	1753	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	245681	246232	+							JCVISYN3A_0400	552		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	245681	246232	+	AVX54764.1			Uncharacterized protease			JCVISYN3A_0400	552	183	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	246267	248114	+							JCVISYN3A_0401	1848		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	246267	248114	+	AVX54765.1			Uncharacterized peptidase			JCVISYN3A_0401	1848	615	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	248119	248613	+					ybeY		JCVISYN3A_0402	495		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	248119	248613	+	AVX54766.1			rRNA maturation RNase	ybeY		JCVISYN3A_0402	495	164	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	248617	249522	+					era		JCVISYN3A_0403	906		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	248617	249522	+	AVX54767.1			Ribosome GTPase	era		JCVISYN3A_0403	906	301	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	249522	250271	+					recO		JCVISYN3A_0404	750		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	249522	250271	+	AVX54768.1			DNA repair protein	recO		JCVISYN3A_0404	750	249	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	250335	251705	+					glyRS		JCVISYN3A_0405	1371		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	250335	251705	+	AVX54769.1			Glycine--tRNA ligase	glyRS		JCVISYN3A_0405	1371	456	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	251740	253578	+					dnaG		JCVISYN3A_0406	1839		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	251740	253578	+	AVX54770.1			DNA primase	dnaG		JCVISYN3A_0406	1839	612	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	253581	255101	+					rpoD		JCVISYN3A_0407	1521		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	253581	255101	+	AVX54771.1			RNA polymerase subunit sigma	rpoD		JCVISYN3A_0407	1521	506	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	255101	255778	+					trmK; yqfN		JCVISYN3A_0408	678		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	255101	255778	+	AVX54772.1			Uncharacterized methyltransferase	trmK; yqfN		JCVISYN3A_0408	678	225	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	255765	256541	+							JCVISYN3A_0409	777		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	255765	256541	+	AVX54773.1			Uncharacterized protein			JCVISYN3A_0409	777	258	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	256550	257911	+							JCVISYN3A_0410	1362		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	256550	257911	+	AVX54774.1			Uncharacterized helicase			JCVISYN3A_0410	1362	453	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	257951	259465	+							JCVISYN3A_0411	1515		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	257951	259465	+	AVX54775.1			Uncharacterized protein			JCVISYN3A_0411	1515	504	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	259581	263735	+							JCVISYN3A_0412	4155		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	259581	263735	+	AVX54776.1			Uncharacterized protein			JCVISYN3A_0412	4155	1384	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	263747	264259	+					apt		JCVISYN3A_0413	513		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	263747	264259	+	AVX54777.1			Adenine phosphoribosyltransferase	apt		JCVISYN3A_0413	513	170	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	264342	266606	+					relA		JCVISYN3A_0414	2265		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	264342	266606	+	AVX54778.1			Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	relA		JCVISYN3A_0414	2265	754	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	266643	269609	-					smc		JCVISYN3A_0415	2967		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	266643	269609	-	AVX54779.1			Chromosome segregation protein	smc		JCVISYN3A_0415	2967	988	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	269915	270304	-							JCVISYN3A_0416	390		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	269915	270304	-	AVX54780.1			Uncharacterized protein			JCVISYN3A_0416	390	129	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	270449	271147	-							JCVISYN3A_0418	699		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	270449	271147	-	AVX54781.1			Ribonuclease III			JCVISYN3A_0418	699	232	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	271137	272141	-					plsX		JCVISYN3A_0419	1005		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	271137	272141	-	AVX54782.1			Phosphate acyltransferase	plsX		JCVISYN3A_0419	1005	334	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	272174	273817	-					fakA		JCVISYN3A_0420	1644		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	272174	273817	-	AVX54783.1			Fatty acid kinase subunit A	fakA		JCVISYN3A_0420	1644	547	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	273842	274153	-							JCVISYN3A_0421	312		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	273842	274153	-	AVX54784.1			Uncharacterized protein			JCVISYN3A_0421	312	103	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	274322	274519	+					rpmB		JCVISYN3A_0422	198		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	274322	274519	+	AVX54785.1			50S ribosomal protein L28	rpmB		JCVISYN3A_0422	198	65	
gene	tRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	274583	274667	+					tRNA-Leu		JCVISYN3A_0423	85		
tRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	274583	274667	+				tRNA-Leu	tRNA-Leu		JCVISYN3A_0423	85		
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	274750	275193	+							JCVISYN3A_0424	444		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	274750	275193	+	AVX54786.1			Uncharacterized protein			JCVISYN3A_0424	444	147	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	275282	276412	+					pstS		JCVISYN3A_0425	1131		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	275282	276412	+	AVX54787.1			Phosphate ABC transporter substrate-binding protein	pstS		JCVISYN3A_0425	1131	376	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	276464	278554	+					pstA		JCVISYN3A_0426	2091		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	276464	278554	+	AVX54788.1			Phosphate ABC transporter permease	pstA		JCVISYN3A_0426	2091	696	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	278547	279356	+					pstB		JCVISYN3A_0427	810		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	278547	279356	+	AVX54789.1			Phosphate ABC transporter ATP-binding protein	pstB		JCVISYN3A_0427	810	269	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	279365	280039	+					phoU		JCVISYN3A_0428	675		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	279365	280039	+	AVX54790.1			Phosphate transport system regulatory protein	phoU		JCVISYN3A_0428	675	224	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	280106	281335	+					ftsY		JCVISYN3A_0429	1230		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	280106	281335	+	AVX54791.1			Signal recognition particle-docking protein	ftsY		JCVISYN3A_0429	1230	409	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	281319	281660	+							JCVISYN3A_0430	342		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	281319	281660	+	AVX54792.1			Uncharacterized DNA-binding protein			JCVISYN3A_0430	342	113	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	281648	282421	+							JCVISYN3A_0431	774		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	281648	282421	+	AVX54793.1			Uncharacterized metallophosphoesterase			JCVISYN3A_0431	774	257	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	282631	283794	+					metK		JCVISYN3A_0432	1164		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	282631	283794	+	AVX54794.1			Methionine adenosyltransferase	metK		JCVISYN3A_0432	1164	387	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	283785	284468	+					cutC		JCVISYN3A_0433	684		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	283785	284468	+	AVX54795.1			Uncharacterized protein	cutC		JCVISYN3A_0433	684	227	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	284461	285777	+					rlmFO		JCVISYN3A_0434	1317		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	284461	285777	+	AVX54796.1			23S rRNA (uridine(1939)-m5)-methyltransferase	rlmFO		JCVISYN3A_0434	1317	438	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	285803	286732	+					manA		JCVISYN3A_0435	930		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	285803	286732	+	AVX54797.1			Mannose-6-phosphate isomerase	manA		JCVISYN3A_0435	930	309	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	286805	287785	+					yhaM		JCVISYN3A_0437	981		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	286805	287785	+	AVX54798.1			Putative 3'-5' exoribonuclease	yhaM		JCVISYN3A_0437	981	326	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	287816	288214	-					hinT		JCVISYN3A_0438	399		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	287816	288214	-	AVX54799.1			Uncharacterized protein	hinT		JCVISYN3A_0438	399	132	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	288217	290373	-							JCVISYN3A_0439	2157		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	288217	290373	-	AVX54800.1			Uncharacterized lipoprotein			JCVISYN3A_0439	2157	718	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	290373	293309	-							JCVISYN3A_0440	2937		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	290373	293309	-	AVX54801.1			Uncharacterized lipoprotein			JCVISYN3A_0440	2937	978	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	293512	294750	+					iscS		JCVISYN3A_0441	1239		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	293512	294750	+	AVX54802.1			Cysteine desulfurase	iscS		JCVISYN3A_0441	1239	412	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	294753	295190	+					iscU		JCVISYN3A_0442	438		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	294753	295190	+	AVX54803.1			Iron-sulfur cluster assembly scaffold protein	iscU		JCVISYN3A_0442	438	145	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	295183	295746	+					yggN		JCVISYN3A_0443	564		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	295183	295746	+	AVX54804.1			5-Formyltetrahydrofolate cyclo-ligase	yggN		JCVISYN3A_0443	564	187	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	295767	297662	+							JCVISYN3A_0444	1896		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	295767	297662	+	AVX54805.1			Uncharacterized peptidase			JCVISYN3A_0444	1896	631	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	297882	299165	+					pgi		JCVISYN3A_0445	1284		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	297882	299165	+	AVX54806.1			Glucose-6-phosphate isomerase	pgi		JCVISYN3A_0445	1284	427	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	299198	299701	+					dut		JCVISYN3A_0447	504		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	299198	299701	+	AVX54807.1			dUTP diphosphatase	dut		JCVISYN3A_0447	504	167	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	299718	300485	+							JCVISYN3A_0448	768		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	299718	300485	+	AVX54808.1			Uncharacterized rRNA methyltransferase			JCVISYN3A_0448	768	255	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	300656	302071	+					gapdh		JCVISYN3A_0451	1416		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	300656	302071	+	AVX54809.1			Glyceraldehyde-3-phosphate dehydrogenase	gapdh		JCVISYN3A_0451	1416	471	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	302258	304189	+					parE		JCVISYN3A_0452	1932		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	302258	304189	+	AVX54810.1			DNA topoisomerase IV subunit B	parE		JCVISYN3A_0452	1932	643	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	304191	306887	+					parC		JCVISYN3A_0453	2697		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	304191	306887	+	AVX54811.1			DNA topoisomerase IV subunit A	parC		JCVISYN3A_0453	2697	898	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	307123	308079	-					ldh		JCVISYN3A_0475	957		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	307123	308079	-	AVX54812.1			L-lactate dehydrogenase	ldh		JCVISYN3A_0475	957	318	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	308182	308766	-							JCVISYN3A_0478	585		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	308182	308766	-	AVX54813.1			Uncharacterized protein			JCVISYN3A_0478	585	194	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	308771	310417	-							JCVISYN3A_0479	1647		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	308771	310417	-	AVX54814.1			Uncharacterized peptidase			JCVISYN3A_0479	1647	548	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	310640	311077	-							JCVISYN3A_0481	438		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	310640	311077	-	AVX54815.1			Uncharacterized lipoprotein			JCVISYN3A_0481	438	145	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	311391	311555	+					rpsU		JCVISYN3A_0482	165		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	311391	311555	+	AVX54816.1			30S ribosomal protein S21	rpsU		JCVISYN3A_0482	165	54	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	311816	313171	+							JCVISYN3A_0154	1356		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	311816	313171	+	AVX54817.1			Uncharacterized peptidase			JCVISYN3A_0154	1356	451	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	313335	314684	-							JCVISYN3A_0493	1350		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	313335	314684	-	AVX54818.1			Uncharacterized peptidase			JCVISYN3A_0493	1350	449	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	314840	315520	-					nanE		JCVISYN3A_0494	681		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	314840	315520	-	AVX54819.1			N-acetylmannosamine-6-phosphate 2-epimerase	nanE		JCVISYN3A_0494	681	226	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	315579	316454	-							JCVISYN3A_0495	876		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	315579	316454	-	AVX54820.1			Uncharacterized kinase			JCVISYN3A_0495	876	291	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	316629	316910	-					rpmA		JCVISYN3A_0499	282		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	316629	316910	-	AVX54821.1			50S ribosomal protein L27	rpmA		JCVISYN3A_0499	282	93	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	316912	317226	-					prp;ysxB		JCVISYN3A_0500	315		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	316912	317226	-	AVX54822.1			Maturation protease for ribosomal protein L27	prp;ysxB		JCVISYN3A_0500	315	104	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	317229	317531	-					rplU		JCVISYN3A_0501	303		
